timeUTC,latitude,longitude,desc,speed,course,date
65255,-7.319073183,112.7810283,time: 13:52:55.24; speed: 28.1504; course: 176.3,28.15,176.3,211222
65256,-7.319140083,112.7810284,time: 13:52:56.22; speed: 28.335600000000003; course: 176.3,28.34,176.3,211222
65257,-7.319215367,112.7810272,time: 13:52:57.22; speed: 28.5208; course: 177.2,28.52,177.2,211222
65258,-7.319283117,112.7810337,time: 13:52:58.22; speed: 28.5208; course: 177.2,28.52,177.2,211222
65259,-7.319355533,112.7810364,time: 13:52:59.22; speed: 28.5208; course: 177.8,28.52,177.8,211222
65300,-7.3194232,112.7810482,time: 13:53:00.22; speed: 29.632; course: 178.0,29.63,178,211222
65301,-7.3194968,112.7810543,time: 13:53:01.22; speed: 28.8912; course: 178.0,28.89,178,211222
65302,-7.319567933,112.7810588,time: 13:53:02.22; speed: 28.706000000000003; course: 178.9,28.71,178.9,211222
65303,-7.319642067,112.7810611,time: 13:53:03.22; speed: 28.706000000000003; course: 178.4,28.71,178.4,211222
65304,-7.31971505,112.7810639,time: 13:53:04.22; speed: 28.335600000000003; course: 178.3,28.34,178.3,211222
65305,-7.319780967,112.7810603,time: 13:53:05.22; speed: 26.483600000000003; course: 178.4,26.48,178.4,211222
65306,-7.31984925,112.7810685,time: 13:53:06.22; speed: 27.594800000000003; course: 176.7,27.59,176.7,211222
65307,-7.319918017,112.7810697,time: 13:53:07.22; speed: 26.483600000000003; course: 176.5,26.48,176.5,211222
65308,-7.319991833,112.7810713,time: 13:53:08.22; speed: 26.483600000000003; course: 176.7,26.48,176.7,211222
65309,-7.320058933,112.7810776,time: 13:53:09.22; speed: 25.002000000000002; course: 175.2,25,175.2,211222
65310,-7.3201225,112.7810849,time: 13:53:10.22; speed: 25.002000000000002; course: 175.5,25,175.5,211222
65311,-7.320183717,112.781087,time: 13:53:11.22; speed: 25.002000000000002; course: 178.6,25,178.6,211222
65312,-7.3202459,112.781092,time: 13:53:12.22; speed: 24.2612; course: 176.4,24.26,176.4,211222
65313,-7.3203101,112.7810943,time: 13:53:13.22; speed: 25.002000000000002; course: 176.1,25,176.1,211222
65314,-7.320381267,112.7810915,time: 13:53:14.22; speed: 25.742800000000003; course: 177.1,25.74,177.1,211222
65315,-7.320449633,112.7810916,time: 13:53:15.22; speed: 25.002000000000002; course: 175.5,25,175.5,211222
65316,-7.3205136,112.7810962,time: 13:53:16.22; speed: 25.3724; course: 176.8,25.37,176.8,211222
65317,-7.320583867,112.7810918,time: 13:53:17.22; speed: 27.0392; course: 178.1,27.04,178.1,211222
65318,-7.32065515,112.7810952,time: 13:53:18.22; speed: 27.4096; course: 177.1,27.41,177.1,211222
65319,-7.320718817,112.7810952,time: 13:53:19.22; speed: 27.2244; course: 176.9,27.22,176.9,211222
65320,-7.320787833,112.7810999,time: 13:53:20.22; speed: 28.335600000000003; course: 179.6,28.34,179.6,211222
65321,-7.32085445,112.7811058,time: 13:53:21.22; speed: 28.5208; course: 176.7,28.52,176.7,211222
65322,-7.32092425,112.7811097,time: 13:53:22.22; speed: 28.1504; course: 177.8,28.15,177.8,211222
65323,-7.32098695,112.7811085,time: 13:53:23.22; speed: 27.594800000000003; course: 178.6,27.59,178.6,211222
65324,-7.321062367,112.7811112,time: 13:53:24.22; speed: 30.9284; course: 179.0,30.93,179,211222
65325,-7.321133133,112.7811149,time: 13:53:25.22; speed: 27.78; course: 177.9,27.78,177.9,211222
65326,-7.321205917,112.7811194,time: 13:53:26.22; speed: 27.9652; course: 177.7,27.97,177.7,211222
65327,-7.3212722,112.7811155,time: 13:53:27.22; speed: 27.4096; course: 179.5,27.41,179.5,211222
65328,-7.3213389,112.781113,time: 13:53:28.22; speed: 26.1132; course: 178.1,26.11,178.1,211222
65329,-7.321407117,112.7811111,time: 13:53:29.22; speed: 26.1132; course: 178.6,26.11,178.6,211222
65330,-7.3214777,112.7811126,time: 13:53:30.22; speed: 26.854000000000003; course: 178.1,26.85,178.1,211222
65331,-7.321541967,112.7811168,time: 13:53:31.22; speed: 26.483600000000003; course: 178.7,26.48,178.7,211222
65332,-7.321609283,112.7811166,time: 13:53:32.22; speed: 26.483600000000003; course: 177.5,26.48,177.5,211222
65333,-7.321670033,112.7811144,time: 13:53:33.22; speed: 26.1132; course: 178.5,26.11,178.5,211222
65334,-7.321736317,112.7811192,time: 13:53:34.22; speed: 26.1132; course: 179.5,26.11,179.5,211222
65335,-7.32179535,112.7811159,time: 13:53:35.22; speed: 25.3724; course: 177.8,25.37,177.8,211222
65336,-7.321864733,112.7811189,time: 13:53:36.22; speed: 25.557600000000004; course: 179.3,25.56,179.3,211222
65337,-7.321932883,112.7811204,time: 13:53:37.22; speed: 26.1132; course: 180.4,26.11,180.4,211222
65338,-7.321993017,112.7811239,time: 13:53:38.22; speed: 27.0392; course: 179.3,27.04,179.3,211222
65339,-7.32206015,112.7811238,time: 13:53:39.22; speed: 25.002000000000002; course: 180.9,25,180.9,211222
65340,-7.322119183,112.7811243,time: 13:53:40.22; speed: 23.890800000000002; course: 181.7,23.89,181.7,211222
65341,-7.322177567,112.7811244,time: 13:53:41.22; speed: 24.076; course: 181.3,24.08,181.3,211222
65342,-7.322225367,112.7811239,time: 13:53:42.22; speed: 22.779600000000002; course: 182.2,22.78,182.2,211222
65343,-7.32228125,112.7811218,time: 13:53:43.22; speed: 22.224; course: 182.1,22.22,182.1,211222
65344,-7.322337817,112.781117,time: 13:53:44.22; speed: 21.298000000000002; course: 181.5,21.3,181.5,211222
65345,-7.322390967,112.7811105,time: 13:53:45.22; speed: 19.6312; course: 181.6,19.63,181.6,211222
65346,-7.322441,112.7811038,time: 13:53:46.22; speed: 18.149600000000003; course: 185.9,18.15,185.9,211222
65347,-7.322495467,112.7811066,time: 13:53:47.22; speed: 20.372; course: 179.7,20.37,179.7,211222
65348,-7.322549567,112.7811046,time: 13:53:48.22; speed: 21.853600000000004; course: 183.4,21.85,183.4,211222
65349,-7.32260865,112.7811064,time: 13:53:49.22; speed: 22.409200000000002; course: 181.8,22.41,181.8,211222
65350,-7.3226729,112.7811112,time: 13:53:50.22; speed: 23.3352; course: 178.9,23.34,178.9,211222
65351,-7.322729967,112.7811076,time: 13:53:51.22; speed: 23.705600000000004; course: 181.0,23.71,181,211222
65352,-7.322796183,112.7811063,time: 13:53:52.22; speed: 25.3724; course: 181.1,25.37,181.1,211222
65353,-7.322862867,112.7811089,time: 13:53:53.22; speed: 25.742800000000003; course: 181.8,25.74,181.8,211222
65354,-7.322931383,112.7811017,time: 13:53:54.22; speed: 25.002000000000002; course: 187.3,25,187.3,211222
65355,-7.323004267,112.7811017,time: 13:53:55.22; speed: 28.335600000000003; course: 180.5,28.34,180.5,211222
65356,-7.323069533,112.781094,time: 13:53:56.22; speed: 27.2244; course: 183.4,27.22,183.4,211222
65357,-7.323135383,112.7810852,time: 13:53:57.22; speed: 27.9652; course: 184.5,27.97,184.5,211222
65358,-7.32321125,112.7810793,time: 13:53:58.22; speed: 28.335600000000003; course: 184.8,28.34,184.8,211222
65359,-7.323278217,112.7810741,time: 13:53:59.22; speed: 27.594800000000003; course: 183.3,27.59,183.3,211222
65400,-7.323353567,112.7810702,time: 13:54:00.22; speed: 29.0764; course: 183.0,29.08,183,211222
65401,-7.323423783,112.7810667,time: 13:54:01.22; speed: 28.5208; course: 183.6,28.52,183.6,211222
65402,-7.32349835,112.7810641,time: 13:54:02.23; speed: 27.9652; course: 182.5,27.97,182.5,211222
65403,-7.32357035,112.7810672,time: 13:54:03.23; speed: 28.706000000000003; course: 181.6,28.71,181.6,211222
65404,-7.323635833,112.7810594,time: 13:54:04.23; speed: 28.706000000000003; course: 182.8,28.71,182.8,211222
65405,-7.323708583,112.781061,time: 13:54:05.23; speed: 28.706000000000003; course: 182.0,28.71,182,211222
65406,-7.3237759,112.7810629,time: 13:54:06.23; speed: 29.0764; course: 182.1,29.08,182.1,211222
65407,-7.323854217,112.7810572,time: 13:54:07.22; speed: 29.0764; course: 183.4,29.08,183.4,211222
65408,-7.323929333,112.7810543,time: 13:54:08.23; speed: 29.632; course: 180.6,29.63,180.6,211222
65409,-7.3239999,112.781053,time: 13:54:09.23; speed: 30.187600000000003; course: 182.5,30.19,182.5,211222
65410,-7.324072217,112.7810516,time: 13:54:10.23; speed: 30.187600000000003; course: 182.1,30.19,182.1,211222
65411,-7.324150783,112.7810504,time: 13:54:11.23; speed: 30.743200000000005; course: 182.9,30.74,182.9,211222
65412,-7.32422885,112.7810435,time: 13:54:12.23; speed: 30.743200000000005; course: 182.9,30.74,182.9,211222
