type,date,time,latitude,longitude,accuracy(m),altitude(m), geoid_height(m), speed(m/s), bearing(deg), sat_used, sat_inview, name, desc
T, 45063,3152777778, -727872427, 11279028584, 1.50, 32000, , 7290, 172, 29, 33, , 
T, 45063,3152777778, -727878868, 11279029733, 1.50, 32000, , 6640, 169, 29, 33, , 
T, 45063,3152777778, -727884040, 11279031501, 1.50, 32000, , 5610, 158, 29, 33, , 
T, 45063,3152777778, -727888159, 11279034100, 1.50, 32000, , 5460, 139, 28, 32, , 
T, 45063,3152777778, -727891026, 11279038073, 2.00, 32000, , 5420, 121, 28, 32, , 
T, 45063,3152777778, -727893356, 11279043311, 1.50, 33000, , 6420, 111, 29, 33, , 
T, 45063,3152777778, -727895204, 11279049204, 1.50, 33000, , 7170, 106, 29, 33, , 
T, 45063,3152777778, -727897468, 11279055649, 1.50, 33000, , 7500, 112, 28, 32, , 
T, 45063,3152777778, -727900347, 11279061642, 1.50, 33000, , 7290, 116, 29, 33, , 
T, 45063,3152777778, -727904282, 11279067460, 1.50, 33000, , 7650, 125, 29, 33, , 
T, 45063,3152777778, -727908846, 11279072799, 1.50, 34000, , 7810, 136, 29, 33, , 
T, 45063,3152777778, -727914583, 11279077325, 1.50, 34000, , 7610, 148, 29, 33, , 
T, 45063,3152777778, -727921318, 11279079697, 1.50, 34000, , 7540, 162, 29, 33, , 
T, 45063,3152777778, -727928837, 11279081197, 2.00, 35000, , 7620, 170, 27, 33, , 
T, 45063,3152777778, -727935731, 11279081239, 1.50, 35000, , 7860, 187, 28, 33, , 
T, 45063,3152777778, -727942474, 11279080359, 1.50, 35000, , 7620, 197, 28, 32, , 
T, 45063,3152777778, -727948618, 11279078146, 1.50, 36000, , 7090, 208, 29, 33, , 
T, 45063,3152777778, -727954200, 11279074810, 2.00, 36000, , 6990, 210, 29, 33, , 
T, 45063,3152777778, -727958563, 11279070812, 2.00, 36000, , 6160, 227, 28, 32, , 
T, 45063,3152777778, -727960969, 11279066320, 1.50, 36000, , 5660, 238, 29, 33, , 
T, 45063,3152777778, -727963014, 11279061416, 1.50, 36000, , 5690, 241, 29, 33, , 
T, 45063,3152777778, -727965005, 11279056245, 1.50, 36000, , 5620, 247, 29, 33, , 
T, 45063,3152777778, -727966601, 11279051132, 1.50, 36000, , 5790, 257, 29, 33, , 
T, 45063,3152777778, -727966815, 11279045474, 1.50, 35000, , 5790, 269, 29, 32, , 
T, 45063,3152777778, -727965730, 11279039120, 2.00, 35000, , 6830, 281, 29, 33, , 
T, 45063,3152777778, -727962641, 11279032574, 2.00, 36000, , 8040, 296, 29, 33, , 
T, 45063,3152777778, -727958660, 11279025684, 2.00, 36000, , 8100, 300, 29, 33, , 
T, 45063,3152777778, -727955005, 11279019448, 1.50, 36000, , 7940, 300, 29, 33, , 
T, 45063,3152777778, -727951929, 11279013765, 2.00, 36000, , 6110, 293, 29, 33, , 
